symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,power
resistor,resistor_68k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 68k 5% 0.05W,"resistor, smd",1,2,68k,5%,0.05W
resistor,resistor_75k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 75k 5% 0.05W,"resistor, smd",1,2,75k,5%,0.05W
resistor,resistor_82k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 82k 5% 0.05W,"resistor, smd",1,2,82k,5%,0.05W
resistor,resistor_91k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 91k 5% 0.05W,"resistor, smd",1,2,91k,5%,0.05W
resistor,resistor_100k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 100k 5% 0.05W,"resistor, smd",1,2,100k,5%,0.05W
resistor,resistor_110k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 110k 5% 0.05W,"resistor, smd",1,2,110k,5%,0.05W
resistor,resistor_120k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 120k 5% 0.05W,"resistor, smd",1,2,120k,5%,0.05W
resistor,resistor_130k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 130k 5% 0.05W,"resistor, smd",1,2,130k,5%,0.05W
resistor,resistor_150k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 150k 5% 0.05W,"resistor, smd",1,2,150k,5%,0.05W
resistor,resistor_160k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 160k 5% 0.05W,"resistor, smd",1,2,160k,5%,0.05W
resistor,resistor_180k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 180k 5% 0.05W,"resistor, smd",1,2,180k,5%,0.05W
resistor,resistor_200k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 200k 5% 0.05W,"resistor, smd",1,2,200k,5%,0.05W
resistor,resistor_220k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 220k 5% 0.05W,"resistor, smd",1,2,220k,5%,0.05W
resistor,resistor_240k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 240k 5% 0.05W,"resistor, smd",1,2,240k,5%,0.05W
resistor,resistor_270k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 270k 5% 0.05W,"resistor, smd",1,2,270k,5%,0.05W
resistor,resistor_300k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 300k 5% 0.05W,"resistor, smd",1,2,300k,5%,0.05W
resistor,resistor_330k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 330k 5% 0.05W,"resistor, smd",1,2,330k,5%,0.05W
resistor,resistor_360k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 360k 5% 0.05W,"resistor, smd",1,2,360k,5%,0.05W
resistor,resistor_390k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 390k 5% 0.05W,"resistor, smd",1,2,390k,5%,0.05W
resistor,resistor_430k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 430k 5% 0.05W,"resistor, smd",1,2,430k,5%,0.05W
resistor,resistor_470k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 470k 5% 0.05W,"resistor, smd",1,2,470k,5%,0.05W
resistor,resistor_510k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 510k 5% 0.05W,"resistor, smd",1,2,510k,5%,0.05W
resistor,resistor_560k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 560k 5% 0.05W,"resistor, smd",1,2,560k,5%,0.05W
resistor,resistor_620k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 620k 5% 0.05W,"resistor, smd",1,2,620k,5%,0.05W
resistor,resistor_680k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 680k 5% 0.05W,"resistor, smd",1,2,680k,5%,0.05W
resistor,resistor_750k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 750k 5% 0.05W,"resistor, smd",1,2,750k,5%,0.05W
resistor,resistor_820k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 820k 5% 0.05W,"resistor, smd",1,2,820k,5%,0.05W
resistor,resistor_910k_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 910k 5% 0.05W,"resistor, smd",1,2,910k,5%,0.05W
resistor,resistor_1M0_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M0 5% 0.05W,"resistor, smd",1,2,1M0,5%,0.05W
resistor,resistor_1M1_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M1 5% 0.05W,"resistor, smd",1,2,1M1,5%,0.05W
resistor,resistor_1M2_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M2 5% 0.05W,"resistor, smd",1,2,1M2,5%,0.05W
resistor,resistor_1M3_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M3 5% 0.05W,"resistor, smd",1,2,1M3,5%,0.05W
resistor,resistor_1M5_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M5 5% 0.05W,"resistor, smd",1,2,1M5,5%,0.05W
resistor,resistor_1M6_5%_0.05W_chip_resistor_0201,R,chip_resistor_0201,Resistor 1M6 5% 0.05W,"resistor, smd",1,2,1M6,5%,0.05W
