symbol,name,reference,footprint,description,keywords,1,2,value,tolerance,voltage,alias
capacitor,capacitor_3u3_50V_chip_1812,C,chip_capacitor_1812,Capacitor 3u3F 50V,"capacitor,smd",1,2,3u3,5%,50V,"18125C335"
capacitor,capacitor_150n_50V_chip_1812,C,chip_capacitor_1812,Capacitor 150nF 50V,"capacitor,smd",1,2,150n,5%,50V,"18125C154"
capacitor,capacitor_15n_50V_chip_1812,C,chip_capacitor_1812,Capacitor 15nF 50V,"capacitor,smd",1,2,15n,5%,50V,"18125C153"
capacitor,capacitor_3n3_200V_chip_0805,C,chip_capacitor_0805,Capacitor 3n3F 200V,"capacitor,smd",1,2,3n3,5%,200V,"08052C332"
capacitor,capacitor_68n_16V_chip_1210,C,chip_capacitor_1210,Capacitor 68nF 16V,"capacitor,smd",1,2,68n,5%,16V,"1210YC683"
capacitor,capacitor_150p_50V_chip_0201,C,chip_capacitor_0201,Capacitor 150pF 50V,"capacitor,smd",1,2,150p,5%,50V,"02015C151"
capacitor,capacitor_330n_10V_chip_1206,C,chip_capacitor_1206,Capacitor 330nF 10V,"capacitor,smd",1,2,330n,5%,10V,"1206ZC334"
capacitor,capacitor_3n3_500V_chip_1210,C,chip_capacitor_1210,Capacitor 3n3F 500V,"capacitor,smd",1,2,3n3,5%,500V,"12107C332"
capacitor,capacitor_22n_16V_chip_0402,C,chip_capacitor_0402,Capacitor 22nF 16V,"capacitor,smd",1,2,22n,5%,16V,"0402YC223"
capacitor,capacitor_680n_100V_chip_1210,C,chip_capacitor_1210,Capacitor 680nF 100V,"capacitor,smd",1,2,680n,5%,100V,"12101C684"
capacitor,capacitor_2n2_50V_chip_0805,C,chip_capacitor_0805,Capacitor 2n2F 50V,"capacitor,smd",1,2,2n2,5%,50V,"08055C222"
capacitor,capacitor_220n_50V_chip_1206,C,chip_capacitor_1206,Capacitor 220nF 50V,"capacitor,smd",1,2,220n,5%,50V,"12065C224"
capacitor,capacitor_22n_500V_chip_1812,C,chip_capacitor_1812,Capacitor 22nF 500V,"capacitor,smd",1,2,22n,5%,500V,"18127C223"
capacitor,capacitor_10u_6.3V_chip_0805,C,chip_capacitor_0805,Capacitor 10uF 6.3V,"capacitor,smd",1,2,10u,5%,6.3V,"08056C106"
capacitor,capacitor_22n_50V_chip_0805,C,chip_capacitor_0805,Capacitor 22nF 50V,"capacitor,smd",1,2,22n,5%,50V,"08055C223"
